127.0.0.1 - - [09/Mar/2025:00:45:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 6818
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /Hospital_Management_System/img/home2.jpg HTTP/1.1" 200 12790
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/ HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:56 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:45:59 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:46:00 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 6903
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/home1.jpg HTTP/1.1" 200 134507
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/home4.jpg HTTP/1.1" 200 23464
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/home.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:15 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 6903
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/home.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/home4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doct.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doc1.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doc2.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doc3.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:47:47 +0530] "GET /Hospital_Management_System/img/doc4.jpg HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [09/Mar/2025:00:48:44 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7031
